phone,passport,full_name,address,subscriber_since
+79161234567,**** **** 45 123456,Иванов Иван Иванович,"Москва, ул. Ленина, д. 15, кв. 42",2018-03-15
+79169876543,**** **** 77 654321,Петров Пётр Петрович,"Санкт-Петербург, Невский пр., д. 88, кв. 12",2019-07-22
+79031112233,**** **** 50 987654,Сидорова Мария Александровна,"Москва, ул. Тверская, д. 5, кв. 101",2017-11-03
+79037778899,**** **** 23 456789,Козлов Дмитрий Сергеевич,"Казань, ул. Баумана, д. 32",2020-01-10
+79151234567,**** **** 66 112233,Новикова Анна Владимировна,"Екатеринбург, ул. Ленина, д. 1, кв. 55",2016-05-28
+79153456789,**** **** 40 334455,Морозов Алексей Николаевич,"Новосибирск, Красный пр., д. 44, кв. 8",2021-02-14
+79261239876,**** **** 78 556677,Волкова Екатерина Дмитриевна,"Москва, Кутузовский пр., д. 22, кв. 3",2015-09-01
+79262345678,**** **** 61 778899,Лебедев Сергей Анатольевич,"Нижний Новгород, ул. Горького, д. 12",2019-04-17
+79851234567,**** **** 55 990011,Кузнецова Ольга Игоревна,"Москва, ул. Арбат, д. 7, кв. 19",2018-08-30
+79857654321,**** **** 36 223344,Соколов Андрей Михайлович,"Ростов-на-Дону, ул. Большая Садовая, д. 100",2020-06-05
89161112233,**** **** 77 445566,Попова Наталья Сергеевна,"Краснодар, ул. Красная, д. 55, кв. 7",2017-12-20
8(916)333-44-55,**** **** 50 667788,Михайлов Виктор Павлович,"Самара, Московское шоссе, д. 18, кв. 34",2019-10-11
+7 (903) 555-66-77,**** **** 63 889900,Фёдорова Елена Викторовна,"Москва, ул. Покровка, д. 3, кв. 15",2016-03-08
+79037890123,**** **** 77 112244,Егоров Максим Олегович,"Санкт-Петербург, Лиговский пр., д. 50",2022-01-25
+79161239999,**** **** 45 556688,Тихонов Портной Андреевич,"Москва, Пресненская наб., д. 10, кв. 200",2014-06-14
+79168880011,**** **** 99 778800,Ахтинас Ольга Петровна,"Москва, ул. Мясницкая, д. 22, кв. 8",2017-09-02
+79261110022,**** **** 23 990033,Кладко Влада Сергеевна,"Новосибирск, ул. Кирова, д. 77, кв. 14",2020-04-18
+79855554433,**** **** 66 112255,Глазков Даниил Игоревич,"Москва, ул. Бакунинская, д. 6, кв. 31",2019-11-07
+79037771122,**** **** 50 334466,Смирнова Татьяна Юрьевна,"Москва, Ленинградский пр., д. 47, кв. 99",2018-02-19
+79153332211,**** **** 40 556699,Васильев Роман Константинович,"Екатеринбург, ул. Малышева, д. 15",2021-08-12
